time,open,high,low,close,Buy Signal,Sell Signal
4/14/2022,443.55,444.7301,437.68,437.79,0,0
4/18/2022,436.81,439.75,435.61,437.97,0,0
4/19/2022,437.86,445.8,437.68,445.04,0,0
4/20/2022,446.92,447.57,443.48,444.71,0,0
4/21/2022,448.54,450.01,437.1,438.06,0,0
4/22/2022,436.91,438.0825,425.44,426.04,0,0
4/25/2022,423.67,428.69,418.84,428.51,0,0
4/26/2022,425.83,426.04,416.07,416.1,0,0
4/27/2022,417.24,422.92,415.01,417.27,0,0
4/28/2022,422.29,429.64,417.6,427.81,0,0
4/29/2022,423.59,425.87,411.21,412,0,0
5/2/2022,412.07,415.92,405.02,414.48,0,0
5/3/2022,415.01,418.93,413.36,416.38,0,0
5/4/2022,417.08,429.66,413.7099,429.06,0,0
5/5/2022,424.55,425,409.44,413.81,0,0
5/6/2022,411.1,414.8,405.73,411.34,0,0
5/9/2022,405.1,406.41,396.5,398.17,0,0
5/10/2022,404.49,406.08,394.82,399.09,0,0
5/11/2022,398.07,404.04,391.96,392.75,0,0
5/12/2022,389.37,395.8,385.15,392.34,0,0
5/13/2022,396.71,403.18,395.61,401.72,0,0
5/16/2022,399.98,403.97,397.6,400.09,0,0
5/17/2022,406.53,408.57,402.5824,408.32,0,0
5/18/2022,403.5,403.8,390.55,391.86,0,0
5/19/2022,388.62,394.14,387.11,389.46,0,0
5/20/2022,393.25,397.03,380.54,389.63,0,0
5/23/2022,392.83,397.73,390.38,396.92,0,0
5/24/2022,392.56,395.15,386.96,393.89,0,0
5/25/2022,392.31,399.45,391.89,397.37,0,0
5/26/2022,398.67,407.04,398.45,405.31,0,0
5/27/2022,407.91,415.3801,407.7,415.26,0,0
5/31/2022,413.55,416.46,410.03,412.93,0,0
6/1/2022,415.17,416.24,406.93,409.59,0,0
6/2/2022,409.42,417.44,407.04,417.39,0,0
6/3/2022,412.4,414.04,409.51,410.54,0,0
6/6/2022,414.78,416.609,410.5523,411.79,0,0
6/7/2022,408.1,416.22,407.61,415.74,0,0
6/8/2022,413.93,415.82,410.38,411.22,0,0
